[2019-03-03 00:07:33Z] 00000002-Local-SCDQT5XF-Unknow > Weconme ZeroNet
[2019-03-03 00:07:33Z] 00000003-Local-S1NZ1ER6-Unknow > ZMQ : 4.2.5
[2019-03-03 00:07:33Z] 00000004-AgebullMac:Background:4A3H-U5XWQ5HL8S-BDJQiH0W1W > OS : Windows
[2019-03-03 00:07:33Z] 00000005-AgebullMac:Background:4A3H-VSKKTC0LM4-CZ60VF7Z1Z > RunModel : Monitor $ Development
[2019-03-03 00:07:33Z] 00000006-AgebullMac:Background:4A3H-VBTA7F00Z9-QiYSSZ4N5D > RootPath : C:\Projects\Agebull\AgebullDesigner\demo\src\Web
[2019-03-03 00:07:33Z] 00000007-AgebullMac:Background:4A3H-USMUQATGQR-PDSSA0WiVQ > LogPath : C:\Projects\Agebull\AgebullDesigner\demo\src\Web\logs
[2019-03-03 00:07:33Z] 00000008-AgebullMac:Background:4A3H-9LZ31U5QQL-4Y4RLF90W8 > ZeroCenter : zero.yizuanbao.cn $ 8000 $ 8001
[2019-03-03 00:07:33Z] 00000009-AgebullMac:Background:4A3H-U863TUDEKZ-4LFL9XVXDR > Name : Background $ AgebullMac $ AgebullMac:Background:4A3H $ 192.168.240.1 , 192.168.23.1 , 192.168.222.18 , 172.29.204.49 , fd15:4ba5:5a2b:1008:544a:cf0b:e5be:8c56 , fd15:4ba5:5a2b:1008:3179:190a:f7b9:9eea
[2019-03-03 00:07:33Z] 0000000A-AgebullMac:Background:4A3H-L733KUG9F4-WFDL1KX283 > SpeedLimitModel : 单线程:线程(1) 等待(0)
[2019-03-03 00:07:34Z] 0000000B-AgebullMac:Background:4A3H-HHDR1SU4VM-FFGiHFQS7i > Summary : RegistZeroObject
[2019-03-03 00:07:34Z] 0000000C-AgebullMac:Background:4A3H-E6X02MUCP3-3DDEV2JAHU > Discove : Auth.ManageApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2019-03-03 00:07:34Z] 0000000D-AgebullMac:Background:4A3H-1UZZHVU386-9DB1DJ61DY > ReadEntity : over flow $ GovernmentAreaData
[2019-03-03 00:07:34Z] 0000000E-AgebullMac:Background:4A3H-1-FFUUBF9MG9-FUR02DNLB0 > 
ReadEntity : over flow * GovernmentAreaData

[2019-03-03 00:07:34Z] 0000000F-AgebullMac:Background:4A3H-K298iV8iU6-BQDYZTZTNV > ReadEntity : over flow $ OrganizationData
[2019-03-03 00:07:34Z] 00000010-AgebullMac:Background:4A3H-1-FVTT0DK2MY-AYYiK9PESP > 
ReadEntity : over flow * OrganizationData

[2019-03-03 00:07:35Z] 00000011-AgebullMac:Background:4A3H-X1Z1i9N8TB-B46BVAWLSG > UserManage : RegistZeroObject
[2019-03-03 00:07:35Z] 00000012-AgebullMac:Background:4A3H-DKJFZG5NE3-T3C2Q2TDA7 > UserManage : v1/page/tree(TreeNode)
[2019-03-03 00:07:35Z] 00000013-AgebullMac:Background:4A3H-NM5G3788PR-NJ2PVXMWK1 > UserManage : v1/sys/flush_cache(FlushCache)
[2019-03-03 00:07:35Z] 00000014-AgebullMac:Background:4A3H-S3AHEBZ49T-TST6JFTN1Y > UserManage : sys/area/v1/edit/tree(Tree)
[2019-03-03 00:07:35Z] 00000015-AgebullMac:Background:4A3H-B1RE3UBWQF-BRNGUKQUKD > UserManage : sys/area/v1/edit/import(Import)
[2019-03-03 00:07:35Z] 00000016-AgebullMac:Background:4A3H-65JHGUQZ4U-64G78J4B0K > UserManage : sys/area/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 00000017-AgebullMac:Background:4A3H-L38GYMSXWU-P2EZ90JEFF > UserManage : sys/area/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 00000018-AgebullMac:Background:4A3H-4R6PZH7ECX-JB77MLYFV7 > UserManage : sys/area/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 00000019-AgebullMac:Background:4A3H-V58P6WBH1B-UM5HYiQYWW > UserManage : sys/area/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 0000001A-AgebullMac:Background:4A3H-3MK03LNJ6P-JC6A5BVGLJ > UserManage : sys/area/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 0000001B-AgebullMac:Background:4A3H-CKB0WX8SZJ-9V27VTSF12 > UserManage : sys/area/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 0000001C-AgebullMac:Background:4A3H-Y7LPWQ3ZY9-CVMJJEUSGU > UserManage : sys/area/v1/edit/list(List)
[2019-03-03 00:07:35Z] 0000001D-AgebullMac:Background:4A3H-3ESR02KRAL-i6T1NXBWTT > UserManage : sys/area/v1/edit/details(Details)
